,,,数据,,,,,,,,,,,,,,,,,,,说明,
命令接口类型,命令功能,方向,字符串,,,,,,,,,,,,,,,,,,,公司所有产品都会发送的网络组播信息,
网口,广播自身信息,"组播
236.2.3.6:2468",产品型号,,产品序列号,,,,, ip地址,,,,,控制端口,,数据流端口,,协议地址,协议类型,预留,,
,,,"""FSY-I""",""",""","""1905FSY0101""",,""",""",,,"""192.168.2,101""",,,,""",""","""5001""",""",""","""5000""",""",""","""1""","""0""",,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,地址,功能码,字节数,寄存器地址,,,,寄存器值,,,CRC低位,,CRC高位,,,,,,,,
,,,,,,低位,,,高位,低位在前 高位在后 小端序,,,,,,,,,,,,,
网口，串口，can,从机广播自身序列号,从机-->主机(主动上传),0x01(从机地址),0x23(主动返回多个寄存器),0x10,0x56,,,0x00,char[16]‘1905CCM0101’不足16位补零,,,CRC低位,,CRC高位,,,,,,,,
网口，串口，can,"从机主动上传实时值
(辐射量)",从机-->主机(主动上传),0x01(从机地址),0x23,0x04,0x01,,,0x00,uint32，实际值*100，单位uSv/h,,,CRC低位,,CRC高位,,,,,,,,
网口，串口，can,"从机主动上传实时值
(温度)",从机-->主机(主动上传),0x01(从机地址),0x23,0x04,0x03,,,0x00,uint32，实际值*10，单位℃,,,CRC低位,,CRC高位,,,,,,,,
网口，串口，can,"从机主动上传实时值
(气压)",从机-->主机(主动上传),0x01(从机地址),0x23,0x04,0x05,,,0x00,uint32，实际值，单位hpa,,,CRC低位,,CRC高位,,,,,,,,
网口，串口，can,"从机主动上传实时值
(湿度)",从机-->主机(主动上传),0x01(从机地址),0x23,0x04,0x07,,,0x00,uint32，实际值，单位%,,,CRC低位,,CRC高位,,,,,,,,
网口，串口，can,"从机主动上传实时值
(二氧化碳含量)",从机-->主机(主动上传),0x01(从机地址),0x23,0x04,0x09,,,0x00,uint32，实际值*10，ppm,,,CRC低位,,CRC高位,,,,,,,,
网口，串口，can,"从机主动上传实时值
(pm2.5)",从机-->主机(主动上传),0x01(从机地址),0x23,0x04,0x0b,,,0x00,uint32，实际值*10，单位ug/m3,,,CRC低位,,CRC高位,,,,,,,,
网口，串口，can,"从机主动上传实时值
(报警状态)",从机-->主机(主动上传),0x01(从机地址),0x23,0x04,0x0d,,,0x00,"uint32，32个bit位 ，bit 为1 是报警
bit0:辐射上阈值报警，bit1:辐射下阈值报警，bit2：辐射检测离线，bit3：保留
bit4:温度上阈值报警，bit5:温度下阈值报警，bit6：温度检测离线，bit7：保留
bit8:气压上阈值报警，bit9:气压下阈值报警，bit10：气压检测离线，bit11：保留
bit12:湿度上阈值报警，bit13:湿度下阈值报警,bit14：湿度检测离线, bit15：保留
bit16:co2上阈值报警，bit17:co2下阈值报警, bit18：co2检测离线 , bit19：保留
bit20:pm2.5上阈值报警,bit21:温pm2.5下阈值报警,bit22：pm2.5检测离,bit23：保留
bit24:声报警损坏，  bit25:保留   bit26：声报警离线  bit27：保留
bit28:光报警损坏 ，  bit29:保留  bit30：光报警离线  bit31：保留",,,CRC低位,,CRC高位,,,,,,,,
,,,,,,,,,,,,,CRC低位,,CRC高位,,,,,,,,
网口，串口，can,"从机主动上传五分钟值
(辐射量)",从机-->主机(主动上传),0x01(从机地址),0x23,0x0c,0x14,,,0x00,"uchar data_time[8]+ uint32 dose_rate；时间+辐射量值*100；
data_time定义：data_time[0]:年   data_time[1]:月  data_time[2]:日
data_time[3]:时 data_time[4]:分  data_time[5]:秒  data_time[6，7]预留",,,CRC低位,,CRC高位,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,地址,功能码,起始寄存器地址,,寄存器数量,,字节数,寄存器值,CRC低位,CRC高位,,,,,,,,,,,
,,,,,低位,高位,低位,高位,,低位在前 高位在后 小端序,,,,,,,,,,,,,
网口，串口，can,"  读写从机
(辐射量报警上阈值)",主机--》从机（设置/写）,0x01(从机地址),0x10（写多个寄存器）,0x32,0x00,0x02,0x00,0x04,uint32，辐射量实际值*100，单位uSv/h,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x20（写多个寄存器返回）,0x32,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,从机--》主机（写错误返回）,0x01(从机地址),0x90(写多个寄存器返回错误),0x32,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,主机--》从机（获取/读）,0x01(从机地址),0x03(读多个寄存器）,0x32,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,,地址,"功能码(读返回,区别主动返回)",字节数,寄存器地址低位,寄存器地址高位,寄存器值,,,,,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x13（读多个寄存器返回）,0x04(字节数),0x32,0x00,uint32，辐射量实际值*100，单位uSv/h,,,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（读错误返回）,0x01(从机地址),0x83(读多个寄存器返回错误）,0x32,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
网口，串口，can,"  读写从机
(辐射量报警下阈值)",主机--》从机（设置/写）,0x01(从机地址),0x10,0x34,0x00,0x02,0x00,0x04,uint32，辐射量实际值*100，单位uSv/h,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x20,0x34,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,从机--》主机（写错误返回）,0x01(从机地址),0x90,0x34,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,主机--》从机（获取/读）,0x01(从机地址),0x03,0x34,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,,地址,"功能码(读返回,区别主动返回)",字节数,寄存器地址低位,寄存器地址高位,寄存器值,,,,,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x13（读多个寄存器返回）,0x04(字节数),0x34,0x00,uint32，辐射量实际值*100，单位uSv/h,,,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（读错误返回）,0x01(从机地址),0x83,0x34,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
网口，串口，can,"  读写从机
(温度报警上阈值)",主机--》从机（设置/写）,0x01(从机地址),0x10,0x36,0x00,0x02,0x00,0x04,uint32，温度实际值*10,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x20,0x36,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,从机--》主机（写错误返回）,0x01(从机地址),0x90,0x36,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,主机--》从机（获取/读）,0x01(从机地址),0x03,0x36,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,,地址,"功能码(读返回,区别主动返回)",字节数,寄存器地址低位,寄存器地址高位,寄存器值,,,,,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x13（读多个寄存器返回）,0x04(字节数),0x36,0x00,uint32，温度实际值*10,,,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（读错误返回）,0x01(从机地址),0x83,0x36,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
网口，串口，can,"  读写从机
(温度报警下阈值)",主机--》从机（设置/写）,0x01(从机地址),0x10,0x38,0x00,0x02,0x00,0x04,uint32，温度实际值*10,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x20,0x38,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,从机--》主机（写错误返回）,0x01(从机地址),0x90,0x38,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,主机--》从机（获取/读）,0x01(从机地址),0x03,0x38,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,,地址,"功能码(读返回,区别主动返回)",字节数,寄存器地址低位,寄存器地址高位,寄存器值,,,,,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x13（读多个寄存器返回）,0x04(字节数),0x38,0x00,uint32，温度实际值*10,,,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（读错误返回）,0x01(从机地址),0x83,0x38,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
网口，串口，can,"  读写从机
(气压报警上阈值)",主机--》从机（设置/写）,0x01(从机地址),0x10,0x3a,0x00,0x02,0x00,0x04,uint32，气压值 hpa,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x20,0x3a,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,从机--》主机（写错误返回）,0x01(从机地址),0x90,0x3a,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,主机--》从机（获取/读）,0x01(从机地址),0x03,0x3a,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,,地址,"功能码(读返回,区别主动返回)",字节数,寄存器地址低位,寄存器地址高位,寄存器值,,,,,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x13（读多个寄存器返回）,0x04(字节数),0x3a,0x00,uint32，气压值 hpa,,,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（读错误返回）,0x01(从机地址),0x83,0x3a,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
网口，串口，can,"  读写从机
(气压报警下阈值)",主机--》从机（设置/写）,0x01(从机地址),0x10,0x3c,0x00,0x02,0x00,0x04,uint32，气压值 hpa,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x20,0x3c,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,从机--》主机（写错误返回）,0x01(从机地址),0x90,0x3c,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,主机--》从机（获取/读）,0x01(从机地址),0x03,0x3c,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,,地址,"功能码(读返回,区别主动返回)",字节数,寄存器地址低位,寄存器地址高位,寄存器值,,,,,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x13（读多个寄存器返回）,0x04(字节数),0x3c,0x00,uint32，气压值 hpa,,,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（读错误返回）,0x01(从机地址),0x83,0x3c,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
网口，串口，can,"  读写从机
(湿度报警上阈值)",主机--》从机（设置/写）,0x01(从机地址),0x10,0x3e,0x00,0x02,0x00,0x04,uint32，湿度值,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x20,0x3e,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,从机--》主机（写错误返回）,0x01(从机地址),0x90,0x3e,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,主机--》从机（获取/读）,0x01(从机地址),0x03,0x3e,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,,地址,"功能码(读返回,区别主动返回)",字节数,寄存器地址低位,寄存器地址高位,寄存器值,,,,,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x13（读多个寄存器返回）,0x04(字节数),0x3e,0x00,uint32，湿度值,,,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（读错误返回）,0x01(从机地址),0x83,0x3e,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
网口，串口，can,"  读写从机
(湿度报警下阈值)",主机--》从机（设置/写）,0x01(从机地址),0x10,0x40,0x00,0x02,0x00,0x04,uint32，湿度值,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x20,0x40,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,从机--》主机（写错误返回）,0x01(从机地址),0x90,0x40,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,主机--》从机（获取/读）,0x01(从机地址),0x03,0x40,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,,地址,"功能码(读返回,区别主动返回)",字节数,寄存器地址低位,寄存器地址高位,寄存器值,,,,,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x13（读多个寄存器返回）,0x04(字节数),0x40,0x00,uint32，湿度值,,,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（读错误返回）,0x01(从机地址),0x83,0x40,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
网口，串口，can,"  读写从机
(二氧化碳报警上阈值)",主机--》从机（设置/写）,0x01(从机地址),0x10,0x42,0x00,0x02,0x00,0x04,uint32，二氧化碳值*10,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x20,0x42,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,从机--》主机（写错误返回）,0x01(从机地址),0x90,0x42,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,主机--》从机（获取/读）,0x01(从机地址),0x03,0x42,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,,地址,"功能码(读返回,区别主动返回)",字节数,寄存器地址低位,寄存器地址高位,寄存器值,,,,,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x13（读多个寄存器返回）,0x04(字节数),0x42,0x00,uint32，二氧化碳值*10,,,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（读错误返回）,0x01(从机地址),0x83,0x42,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
网口，串口，can,"  读写从机
(二氧化碳报警下阈值)",主机--》从机（设置/写）,0x01(从机地址),0x10,0x44,0x00,0x02,0x00,0x04,uint32，二氧化碳值*10,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x20,0x44,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,从机--》主机（写错误返回）,0x01(从机地址),0x90,0x44,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,主机--》从机（获取/读）,0x01(从机地址),0x03,0x44,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,,地址,"功能码(读返回,区别主动返回)",字节数,寄存器地址低位,寄存器地址高位,寄存器值,,,,,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x13（读多个寄存器返回）,0x04(字节数),0x44,0x00,uint32，二氧化碳值*10,,,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（读错误返回）,0x01(从机地址),0x83,0x44,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
网口，串口，can,"  读写从机
(PM2.5报警上阈值)",主机--》从机（设置/写）,0x01(从机地址),0x10,0x46,0x00,0x02,0x00,0x04,uint32，PM2.5值*10,CRC低位,CRC高位,,,,,,,,,,,
,,从机--》主机（返回）,0x01(从机地址),0x20,0x46,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,从机--》主机（写错误返回）,0x01(从机地址),0x90,0x46,0x00,错误码低位,错误码高位,CRC低位,CRC高位,,,,,,,,,,,,,
,,主机--》从机（获取/读）,0x01(从机地址),0x03,0x46,0x00,0x02,0x00,CRC低位,CRC高位,,,,,,,,,,,,,
,,,地址,"功能码(读返回,区别主动返回)",字节数,寄存器地址低位,寄存器地址高位,寄存器值,,,,,,,,,,,,,,,
